campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,shots,target_selection_mode,target_fraction,ground_energy,top_energy,jzz,hx,hz,bad_final_count,bad_final_rate,n_diverged,mean_normalized_gap,median_normalized_gap,mean_total_steps
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,48,0.48,0,0.10056100000000001,0.0978,1000
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,1,0.01,0,0.066123,0.0653,912.8
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,72,0.72,0,0.12801,0.11925,907.5
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,58,0.58,0,0.11830199999999999,0.10885,1018.7
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,1,0.01,0,0.06587300000000003,0.0651,957.5
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,61,0.61,0,0.11117300000000002,0.10825,768.7
commeff_tfim_8qubit_highNoise,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,43,0.43,0,0.10221,0.07655,963
commeff_tfim_8qubit_highNoise,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,5,0.05,0,0.06872600000000001,0.0652,1036
commeff_tfim_8qubit_highNoise,H00000,0,9,shot_100,shot_100,shot,,100,,,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,73,0.73,0,0.12874134975676857,0.12464059596341018,1000
commeff_tfim_8qubit_highNoise,H00001,1,1,clean,clean,clean,,,,,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,56,0.56,0,0.102329,0.1028,1000
commeff_tfim_8qubit_highNoise,H00001,1,2,full,full,full_noise,staged_prob_schedule,,,1.0,-16.087213925340926,16.087213925340926,0.9185630992485563,-1.9134118252881938,0.0,2,0.02,0,0.023241999999999995,0.0208,1244.8
